word,symbol_id,symbol_en,asset_name,category
run,2428,"run_,_to",run,Sport
sack,2431,sack,sack,Celebration Item
saddle,2434,saddle,saddle,Animal Activity Grooming
salad,2440,salad,salad,Food Vegetables and salad
salty,2446,salty,salty,Food Feeding and eating
same,2447,same,same,Descriptive Quantity
save,2473,save,save,Computer Icon
saw,2474,saw,saw,Tools Workshop
school,2483,school,school,Building School
scotland,1327,flag_Scotland,scotland,Country Flags
seal,2498,seal,seal,Animal Fish and Marine mammals
second,2500,second,second,Descriptive Time
shallow,2526,shallow,shallow,Descriptive Quantity
shapes,2531,shapes,shapes,Descriptive Shape
sharp,2533,sharp,sharp,Descriptive Shape
shave,2534,"shave_,_to",shave,Healthcare Grooming activities
shells,2539,shells,shells,Science Eco
shiny,2543,shiny,shiny,Descriptive State
shop,2548,shop,shop,Building Shop
shrimp,2561,shrimp,shrimp,Food Fish and seafood
side,2564,side,side,Descriptive Position
sister,2578,sister,sister,People Relationship
six,2581,six,six,Number
ski,2588,"ski_,_to",ski,Sport
skis,2591,skis,skis,Sport Accessories
slice,2597,slice,slice,Descriptive Shape
slide,2598,slide,slide,Leisure Playground
sling,2599,sling,sling,Healthcare Medical items
slowly,0,tortoise,slowly,Animal Reptiles and Amphibians
slug,2602,slug,slug,Animal Crustacean and Molluscs
snail,2605,snail,snail,Animal Crustacean and Molluscs
snake,2606,snake,snake,Animal Reptiles and Amphibians
snow,2610,snow,snow,Environment Weather
soap,2611,soap,soap,Healthcare Grooming items
soft,2613,soft,soft,Descriptive State
some,2619,some,some,Descriptive Quantity
son,2620,son,son,People Relationship
soup,2621,soup,soup,Food Meals and snacks
sour,2629,sour,sour,Food Feeding and eating
south,2631,south,south,Descriptive Direction
spaceship,2635,spaceship,spaceship,Transport Space
spain,1341,flag_Spain,spain,Country Flags
speak,0,non_speaking,speak,People Descriptive
spicy,2646,spicy,spicy,Food Feeding and eating
spotty,2655,spotty,spotty,Descriptive State
spring,2658,spring,spring,Descriptive Time
square,2661,square,square,Descriptive Shape
stable,2668,stable,stable,Animal Habitat
star,2676,star,star,Science Astronomy
starfish,2679,starfish,starfish,Animal Other Invertebrates
sticky,2696,sticky,sticky,Descriptive State
stock,2703,stock,stock,Food Ingredients
stool,2709,stool,stool,Building Furniture
straight,2710,straight,straight,Descriptive Shape
striped,2716,striped,striped,Descriptive State
stroke,2717,"stroke_,_to",stroke,Animal Activity Grooming
subsoil,2721,subsoil,subsoil,Science Eco
sum,2730,sum,sum,Number Activity
summer,2731,summer,summer,Descriptive Time
sun,2732,sun,sun,Descriptive Time
sweden,1348,flag_Sweden,sweden,Country Flags
swing,2751,swing,swing,Leisure Playground
switzerland,1349,flag_Switzerland,switzerland,Country Flags
table,2763,table,table,Building Furniture
tall,2777,tall,tall,People Descriptive
tap,2779,tap,tap,Healthcare Grooming items
tart,2782,tart,tart,Food Sweets and desserts
tea,2795,tea,tea,Drink Type
ten,2813,ten,ten,Number
test,2816,test,test,Work and School Education
thanks,0,happy_man,thanks,People Feelings
thick,2823,thick,thick,Descriptive Quantity
through,2838,through,through,Descriptive Direction
tie,2843,tie,tie,Clothes General
time,0,clock,time,Electrical General
tin,2849,tin,tin,Food Kitchen items
toad,2865,toad,toad,Animal Reptiles and Amphibians
today,2868,today,today,Descriptive Time
toilet,2870,toilet,toilet,Healthcare Grooming items
toilets,2873,toilets,toilets,Communication Signs
tomorrow,2879,tomorrow,tomorrow,Descriptive Time
top,2887,top,top,Descriptive Position
topsoil,2889,topsoil,topsoil,Science Eco
torch,2890,torch,torch,Electrical General
tracksuit,2903,tracksuit,tracksuit,Clothes Sport
train,2906,train,train,Transport Rail
trap,2911,trap,trap,Animal Activity Misc
trapezium,2912,trapezium,trapezium,Descriptive Shape
travel,2913,travel,travel,Holiday and travel
tuna,2930,tuna,tuna,Food Fish and seafood
turkey,1370,flag_Turkey,turkey,Country Flags
two,2943,two,two,Number
untie,2960,"untie_,_to",untie,Healthcare Grooming activities
up,2961,up,up,Descriptive Direction
van,2972,van,van,Transport Road
vinegar,2984,vinegar,vinegar,Food Ingredients
wales,1389,flag_Wales,wales,Country Flags
wall,3002,wall,wall,Building Structure
walrus,3005,walrus,walrus,Animal Fish and Marine mammals
watch,3021,watch,watch,Clothes Jewellery
wavy,3031,wavy,wavy,Descriptive Shape
webcam,3035,webcam,webcam,Electrical Computer
week,3037,week,week,Descriptive Time
weekend,3039,weekend,weekend,Descriptive Time
weigh,3040,"weigh_,_to",weigh,Descriptive Quantity
west,3042,west,west,Descriptive Direction
wet,3043,wet,wet,Descriptive State
what,3045,what,what,Question
whiteboard,3061,whiteboard,whiteboard,Building Equipment and devices
who,3062,who,who,Question
whole,3063,whole,whole,Descriptive Quantity
why,3064,why,why,Question
wife,3065,wife,wife,People Relationship
wii,3068,Wii,wii,Electrical Media
wine,3072,wine,wine,Drink Type
winter,3075,winter,winter,Descriptive Time
wishbone,3078,wishbone,wishbone,Food Poultry
work,3087,"work_,_to",work,Tools Actions
worksheet,3089,worksheet,worksheet,Work and School Education
wrap,3093,"wrap_,_to",wrap,Celebration Event
xray,3101,xray,xray,Healthcare Medical items
yesterday,3106,yesterday,yesterday,Descriptive Time
yogurt,3107,yogurt,yogurt,Food Dairy
zip,3119,zip,zip,Clothes Accessories
